Year,Title,Source,Link,Output,Task,Query,Structured,Cost,Model,Learning,Start,Stop,Others
2016,The Benefits of Word Embeddings Features for Active Learning in Clinical Information Extraction,ACL,https://aclanthology.org/U16-1003,Sequence_labeling,NER,"Uncertainty,Density,Discriminative",-,-,-,-,-,-,-
2016,Investigating Active Learning for Short-Answer Scoring,ACL,https://aclanthology.org/W16-0535,Classification,Others,"Uncertainty,Density,Discriminative",-,-,-,-,Seed,-,Data_imbalance
2016,Active learning for detection of stance components,ACL,https://aclanthology.org/W16-4306,Classification,Classification,Uncertainty,-,-,-,-,-,-,-
2015,Active Learning with Rationales for Text Classification,ACL,https://aclanthology.org/N15-1047,Classification,Classification,Uncertainty,-,-,-,-,-,-,-
2015,Judging the Quality of Automatically Generated Gap-fill Question using Active Learning,ACL,https://aclanthology.org/W15-0623,Classification,Others,"Uncertainty,Disagreement",-,-,-,-,-,-,-
2015,An Analytic and Empirical Evaluation of Return-on-Investment-Based Active Learning,ACL,https://aclanthology.org/W15-1602,Sequence_labeling,POS,Uncertainty,-,-,-,-,-,-,-
2015,Active learning for sense annotation,ACL,https://aclanthology.org/W15-1831,Sequence_labeling,WSD,Uncertainty,-,-,-,-,-,-,-
2015,Experiments on Active Learning for Croatian Word Sense Disambiguation,ACL,https://aclanthology.org/W15-5309,Classification,WSD,Uncertainty,-,-,-,-,-,-,-
2015,Improving Event Detection with Active Learning,ACL,https://aclanthology.org/R15-1010,Classification,Event,Discriminative,-,-,-,-,-,-,-
2015,Combining Active Learning and Partial Annotation for Domain Adaptation of a Japanese Dependency Parser,ACL,https://aclanthology.org/W15-2202,Complex_structured_prediction,Parsing,Uncertainty,Partial,Measurement,-,Transfer_learning,-,-,-
2014,Active Learning in Noisy Conditions for Spoken Language Understanding,ACL,https://aclanthology.org/C14-1102,Sequence_labeling,Others,"Uncertainty,Disagreement,Gradient,Density,Hybrid(simple),Hybrid(multi_step)",-,-,-,-,-,-,-
2014,An Experimental Comparison of Active Learning Strategies for Partially Labeled Sequences,ACL,https://aclanthology.org/D14-1097,Sequence_labeling,"POS,NER,Others",Uncertainty,Partial,-,-,-,-,-,-
2014,Formalizing Word Sampling for Vocabulary Prediction as Graph-based Active Learning,ACL,https://aclanthology.org/D14-1143,Classification,Others,Others(special),-,-,-,-,-,-,-
2014,Active Learning for Post-Editing Based Incrementally Retrained MT,ACL,https://aclanthology.org/E14-4036,Generation,MT,"Discriminative,Batch_diversity",-,Directly_reducing_cost,-,-,-,-,-
2014,A Quality-based Active Sample Selection Strategy for Statistical Machine Translation,ACL,https://aclanthology.org/L14-1519,Generation,MT,Performance_prediction,-,-,-,-,-,-,-
2014,Bilingual Active Learning for Relation Classification via Pseudo Parallel Corpora,ACL,https://aclanthology.org/P14-1055,Complex_structured_prediction,Relation,"Uncertainty,Disagreement",-,-,-,Transfer_learning,-,-,Multiple_targets
2014,Active Learning with Efficient Feature Weighting Methods for Improving Data Quality and Classification Accuracy,ACL,https://aclanthology.org/P14-1104,Classification,Others,Uncertainty,-,-,-,-,-,-,Crowdsourcing
2014,Integrating online and active learning in a computer-assisted translation workbench,ACL,https://aclanthology.org/2014.amta-workshop.1,Generation,MT,"Uncertainty,Discriminative",-,-,-,-,-,-,-
2014,Confidence-based Active Learning Methods for Machine Translation,ACL,https://aclanthology.org/W14-0312,Generation,MT,Performance_prediction,-,-,-,-,-,-,-
2014,Domain Adaptation with Active Learning for Coreference Resolution,ACL,https://aclanthology.org/W14-1104,Complex_structured_prediction,Coreference,Uncertainty,-,-,-,Transfer_learning,-,-,-
2014,Active Learning with Constrained Topic Model,ACL,https://aclanthology.org/W14-3104,Complex_structured_prediction,Others,Uncertainty,-,-,-,-,-,-,-
2014,Design of an Active Learning System with Human Correction for Content Analysis,ACL,https://aclanthology.org/W14-3109,Classification,Classification,Uncertainty,-,-,-,-,-,-,-
2014,Structuring Operative Notes using Active Learning,ACL,https://aclanthology.org/W14-3410,Classification,Event,"Uncertainty,Discriminative",-,-,-,-,-,-,-
2013,An Efficient Active Learning Framework for New Relation Types,ACL,https://aclanthology.org/I13-1081,Complex_structured_prediction,Relation,"Uncertainty,Disagreement",-,-,-,Semi_supervised,Seed,-,-
2013,Reducing Annotation Effort for Quality Estimation via Active Learning,ACL,https://aclanthology.org/P13-2097,Classification,Others,"Disagreement,Density,Hybrid(simple)",-,-,-,-,-,-,-
2013,Towards the Supervised Machine Translation: Real Word Alignments and Translations in a Multi-task Active Learning process,ACL,https://aclanthology.org/2013.mtsummit-posters.6,"Complex_structured_prediction,Generation","Word_alignment,MT","Uncertainty,Density,Hybrid(simple)",Full,-,-,-,-,-,Multiple_targets
2013,Active Learning for Phenotyping Tasks,ACL,https://aclanthology.org/W13-5101,Classification,Classification,Uncertainty,-,-,-,-,-,-,-
2013,Annotating named entities in clinical text by combining pre-annotation and active learning,ACL,https://aclanthology.org/P13-3011,Sequence_labeling,NER,"Uncertainty,Others(special)",-,Directly_reducing_cost,-,-,-,-,-
2013,Online Active Learning for Cost Sensitive Domain Adaptation,ACL,https://aclanthology.org/W13-3501,Classification,Classification,"Uncertainty,Disagreement",-,-,-,Transfer_learning,-,-,Multiple_targets
2013,Analysis of Stopping Active Learning based on Stabilizing Predictions,ACL,https://aclanthology.org/W13-3502,Others,Others,Others,-,-,-,-,-,Stop,-
2013,Active Learning for Dependency Parsing by A Committee of Parsers,ACL,https://aclanthology.org/W13-5711,Complex_structured_prediction,Parsing,Disagreement,Partial,-,-,Semi_supervised,-,-,-
2012,Active Learning for Chinese Word Segmentation,ACL,https://aclanthology.org/C12-2067,Sequence_labeling,Segmentation,Uncertainty,Partial,-,-,-,-,-,-
2012,Active Learning for Imbalanced Sentiment Classification,ACL,https://aclanthology.org/D12-1013,Classification,Classification,"Uncertainty,Others(special)",-,-,-,-,-,-,Data_imbalance
2012,Active learning for interactive machine translation,ACL,https://aclanthology.org/E12-1025,Generation,MT,"Uncertainty,Discriminative",-,Directly_reducing_cost,-,-,-,-,-
2012,Active Learning for Coreference Resolution,ACL,https://aclanthology.org/N12-1055,Complex_structured_prediction,Coreference,Disagreement,Partial,-,-,-,-,-,-
2012,Active Learning and the Irish Treebank,ACL,https://aclanthology.org/U12-1005,Complex_structured_prediction,Parsing,Disagreement,-,Measurement,-,-,-,-,-
2012,Active Learning for Coreference Resolution,ACL,https://aclanthology.org/W12-2409,Complex_structured_prediction,Coreference,Uncertainty,Partial,-,-,-,-,-,-
2012,Exploring Label Dependency in Active Learning for Phenotype Mapping,ACL,https://aclanthology.org/W12-2418,Complex_structured_prediction,Others,Disagreement,-,-,-,-,-,-,-
2012,Active Learning with Transfer Learning,ACL,https://aclanthology.org/W12-3303,Classification,Classification,Uncertainty,-,-,-,Transfer_learning,-,-,-
2011,A Non-negative Matrix Factorization Based Approach for Active Dual Supervision from Document and Word Labels,ACL,https://aclanthology.org/D11-1088,Classification,Classification,Others(special),-,-,-,-,-,-,-
2011,Active Learning with Amazon Mechanical Turk,ACL,https://aclanthology.org/D11-1143,"Classification,Sequence_labeling","Classification,NER",Uncertainty,-,-,-,-,-,-,Crowdsourcing
